Scientist,University,Degree,isPostGrad
62093db0-7628-4198-9048-82da9efb6863,"Birla Institute of Technology and Science, Pilani",master of science - ms data science,TRUE
17aadfcd-9fa9-4767-b24b-f23110a78cec,Polytechnic University of Bucharest,doctor of philosophy (phd) engineering sciences,TRUE
17aadfcd-9fa9-4767-b24b-f23110a78cec,Polytechnic University of Bucharest,master's degree electrical engineering,TRUE
47e210c3-f3c9-4e69-849d-5ff27cbd4e8f,University of St. Thomas,master's degree software engineering,TRUE
10568a61-2c82-4a00-9ded-837b498803fd,RMIT University,master of analytics data analytics,TRUE
9b1591e2-3482-42c8-9170-57185376a13f,University of Helsinki,master’s degree mathematics,TRUE
9af3d128-1902-4e2e-9751-13dadd883da9,"G.H.Raisoni Academy of Engineering and Technology, Nagpur",master of technology - mtech computer science and engineering 1st class,TRUE
6bd1eb73-752a-4443-bbb0-644f11579048,University of Melbourne - Melbourne Business School,master’s degree business analytics,TRUE
c8d7e39f-2e0e-4118-a9c8-fb447c2ebb4d,University of the Witwatersrand,msc medical science  human/medical genetics,TRUE
f6ad8e25-fd42-4271-b10d-af0aaf26ad75,New York University,master of science - ms computer science,TRUE
f6ad8e25-fd42-4271-b10d-af0aaf26ad75,SVKM's Narsee Monjee Institute of Management Studies (NMIMS),master of business administration - mba technology management (business intelligence and analytics),TRUE
8df0ee13-cddf-4cdc-a877-91604de77c86,University of Pennsylvania,master’s degree mechanical engineering cum laude,TRUE
c3ebb22c-6897-443d-a1b4-fc8d84045a28,Cornell University,doctor of philosophy (ph.d.) mechanical engineering,TRUE
098b4820-2213-45e1-961a-a398c71c51a1,Rice University,"phd, ma political science",TRUE
a8bdb9c3-42b7-45b3-a233-81fbc778dbc9,Teknillinen korkeakoulu-Tekniska högskolan,m.sc (tech) computer science,TRUE
b122833b-cb25-4d7c-8b5f-db249e39cf90,Rice University,"phd, ma political science",TRUE
e479a193-576e-4c4c-afc3-3d79f769191a,University of Vermont,doctor of philosophy (ph.d.) machine learning and data mining 4.0,TRUE
e479a193-576e-4c4c-afc3-3d79f769191a,University of Science and Technology of China,master computer science,TRUE
dc11956e-64cf-4c99-9fe7-69da8958ee2e,"Indian Institute of Technology, Bombay",dual degree (b.tech + m.tech) computer science,TRUE
3e15af26-fc07-4653-8d0b-639f68447691,Bowie State University,master management information systems,TRUE
3e15af26-fc07-4653-8d0b-639f68447691,George Mason University,candidate - doctor of philosophy - phd candidate computational sciences and informatics,TRUE
cf263a5d-e38c-4a9e-98a7-287d3a7a9218,Monash University,master's degree data science,TRUE
2d0a554a-96b6-4711-9733-09399876fe69,Monash University,master of data science,TRUE
2d0a554a-96b6-4711-9733-09399876fe69,Monash University,master of information technology (research),TRUE
1c975f01-a271-4c6c-a54b-dd00d515bc01,University of New South Wales,doctor of philosophy (phd) biomedical engineering,TRUE
1c975f01-a271-4c6c-a54b-dd00d515bc01,University of New South Wales,master of electrical engineering electrical engineering,TRUE
1459fedd-6317-4589-9128-2a82251b2eaa,Åbo Akademi,"master of science - ms economics, information systems master's thesis: 5/5",TRUE
80b0e6e2-51ef-423f-8a04-149f0883c3c8,Kyushu University,doctor of philosophy - phd hydrogen energy systems,TRUE
80b0e6e2-51ef-423f-8a04-149f0883c3c8,Kyushu University,master of engineering - meng mechanical engineering,TRUE
cd0a6899-a15d-4d4e-b0ca-65dc2baf4b53,University of Michigan,master’s degree emphasis on data science and manufacturing,TRUE
5ebf2f61-4bbe-4517-b937-26d9b21a188b,University of Illinois at Urbana-Champaign,master of science (ms) statistics 4.0,TRUE
5ebf2f61-4bbe-4517-b937-26d9b21a188b,Tongji University,master of engineering (meng) structural engineering,TRUE
88a43a56-b53c-45d5-9e11-833c64d15002,University of Toronto - Rotman School of Management,"master's degree management analytics gpa - 3.80, dean's list",TRUE
dff3f6fb-7d28-4c4d-8c96-b15a3e963238,Columbia University in the City of New York,master’s degree operations research,TRUE
4a944c5d-0762-4147-88c7-12024b41f663,Shanghai University,master of science: data sciences major in applied machine learning and deep learning 3.74,TRUE
5e18ef56-5052-4379-9fb0-49ddf976c259,Columbia University in the City of New York,master’s degree ms in data science,TRUE
